toko,kategori,nama_produk,harga,harga_original,harga_member,diskon,rating,jumlah_review,jumlah_terjual,lokasi,brand,url_produk,url_gambar,tanggal_scraping,halaman
Watsons,Facial,WATSONS Watsons Treatment Plus Soft Lip Gel 8g,31900,64500.0,,50.0,5.0,3.0,,Indonesia,WATSONS,https://www.watsons.co.id/id/watsons-watsons-treatment-plus-soft-lip-gel-8g/p/BP_41960,,2026-05-07,0
Watsons,Facial,NOLJA BY WATSONS Nolja Acai Berry Firming Mask 1'S,9900,25900.0,,60.0,5.0,18.0,,Indonesia,NOLJA,https://www.watsons.co.id/id/nolja-by-watsons-nolja-acai-berry-firming-mask-1-s/p/BP_43057,,2026-05-07,0
Watsons,Facial,NOLJA BY WATSONS Nolja Avocado Elastic Mask 1'S,9900,25900.0,,60.0,5.0,15.0,,Indonesia,NOLJA,https://www.watsons.co.id/id/nolja-by-watsons-nolja-avocado-elastic-mask-1-s/p/BP_43055,,2026-05-07,0
Watsons,Facial,NOLJA BY WATSONS Nolja Aloe Vera Soothing Mask 1'S,9900,25900.0,,60.0,5.0,12.0,,Indonesia,NOLJA,https://www.watsons.co.id/id/nolja-by-watsons-nolja-aloe-vera-soothing-mask-1-s/p/BP_43054,,2026-05-07,0
Watsons,Facial,NOLJA BY WATSONS Nolja Mango Vitality Mask 1'S,9900,25900.0,,60.0,5.0,10.0,,Indonesia,NOLJA,https://www.watsons.co.id/id/nolja-by-watsons-nolja-mango-vitality-mask-1-s/p/BP_43056,,2026-05-07,0
Watsons,Facial,DERMACTION PLUS Advanced Sun Solar Barrier Face Fluid SPF50+ PA++++ 50ml,99900,199900.0,,50.0,5.0,3.0,,Indonesia,DERMACTION,https://www.watsons.co.id/id/dermaction-plus-advanced-sun-solar-barrier-face-fluid-spf50-pa-50ml/p/BP_40833,,2026-05-07,0
Watsons,Facial,DERMACTION PLUS Advanced Sun Solar Barrier CC Nude Cream SPF50+ PA++++ 40ml,76900,154900.0,,50.0,5.0,1.0,,Indonesia,DERMACTION,https://www.watsons.co.id/id/dermaction-plus-advanced-sun-solar-barrier-cc-nude-cream-spf50-pa-40ml/p/BP_40835,,2026-05-07,0
Watsons,Facial,WATSONS Very High Protection Sunscreen Face Serum SPF50+ PA++++ 50ml,73900,105900.0,70205.0,30.0,5.0,21.0,,Indonesia,WATSONS,https://www.watsons.co.id/id/watsons-very-high-protection-sunscreen-face-serum-spf50-pa-50ml/p/BP_27312,https://www.watsons.co.id/assets/img/share/member_price_new_icon.svg,2026-05-07,0
Watsons,Facial,DERMACTION PLUS Dermaction Plus by Watsons Advanced Sun Solar Barrier Invisble Balm SPF50+ PA++++ 40ml,74900,149900.0,,50.0,,0.0,,Indonesia,DERMACTION,https://www.watsons.co.id/id/dermaction-plus-dermaction-plus-by-watsons-advanced-sun-solar-barrier-invisble-balm-spf50-pa-40ml/p/BP_41164,,2026-05-07,0
Watsons,Facial,DERMACTION PLUS Dermaction Plus by Watsons Advanced Sun Solar Barrier Cream Gel SPF50+ PA++++ 40ml,76900,154900.0,,50.0,5.0,1.0,,Indonesia,DERMACTION,https://www.watsons.co.id/id/dermaction-plus-dermaction-plus-by-watsons-advanced-sun-solar-barrier-cream-gel-spf50-pa-40ml/p/BP_41163,,2026-05-07,1
Watsons,Facial,WATSONS Watsons Treatment Plus Lip Balm SPF30 4.5g,27900,55500.0,,50.0,5.0,2.0,,Indonesia,WATSONS,https://www.watsons.co.id/id/watsons-watsons-treatment-plus-lip-balm-spf30-4.5g/p/BP_39091,,2026-05-07,1
Watsons,Facial,WATSONS Watsons True Colour Nude Peach Lip Balm 1.7g,26900,54900.0,,50.0,5.0,1.0,,Indonesia,WATSONS,https://www.watsons.co.id/id/watsons-watsons-true-colour-nude-peach-lip-balm-1.7g/p/BP_41961,,2026-05-07,1
Watsons,Facial,WATSONS Watsons True Colour Blooming Pink Lip Balm 1.7g,26900,54900.0,,50.0,5.0,2.0,,Indonesia,WATSONS,https://www.watsons.co.id/id/watsons-watsons-true-colour-blooming-pink-lip-balm-1.7g/p/BP_39083,,2026-05-07,1
