nama_produk,harga,harga_original,diskon,rating,jumlah_review,jumlah_terjual,sumber
K NATURAL Sabun Mandi Cair White Cotton Flower Pouch 400ml,12000.0,24500.0,0.0,5.0,576.0,,Watsons
POSH Posh Spray Hijab Green Blossom Botol 150ml,16900.0,26500.0,0.0,5.0,99.0,,Watsons
POSH Posh Body Spray Cologne Men Cool Blue Botol 150ml,16500.0,26500.0,0.0,5.0,78.0,,Watsons
POSH Men Eau de Parfum Black Suit Parfum Pria 100ml,23900.0,32900.0,0.0,5.0,14.0,,Watsons
POSH Men Eau de Parfum Blue Gravity Parfum Pria 100ml,22000.0,32900.0,0.0,5.0,15.0,,Watsons
WATSONS Ocean Scented Invigorating Wet Wipes 3X10'S,9900.0,21900.0,0.0,5.0,2.0,,Watsons
WATSONS Green Tea Scented Invigorating Wet Wipes 3X10'S,9900.0,21900.0,0.0,,0.0,,Watsons
NATURALS BY WATSONS Lavender Balancing Shower Gel 490ml,33500.0,89900.0,0.0,5.0,1.0,,Watsons
NATURALS BY WATSONS Olive Deep Moisturising Cream Bath 490ml,33500.0,89900.0,0.0,5.0,1.0,,Watsons
WATSONS W WATERPROOF PLASTER 10S,8900.0,17900.0,0.0,5.0,9.0,,Watsons
FRESHCARE Freshcare Minyak Angin Kayu Putih 10ml,12900.0,19000.0,0.0,5.0,8.0,,Watsons
NATURES PLUS Orange Juice Jr 100mg Tablet 90'S,196000.0,280000.0,0.0,,0.0,,Watsons
DEAR ME Dear Me Beauty Serum Lip Tint Dear Valerie 3.5ml,22500.0,49000.0,0.0,5.0,1.0,,Watsons
NATURES HEALTH Probiotic Complex Kapsul 60'S,410000.0,410000.0,0.0,,0.0,,Watsons
WELLNESS Multi Teen Tablet 30'S,247500.0,330000.0,0.0,5.0,4.0,,Watsons
WARDAH EyeXpert Eyebrow Pencil with Sharpener Black 1.14g,47000.0,47000.0,0.0,,0.0,,Watsons
GLAD2GLOW Panthenol All in One Makeup Remover 60ml,29000.0,29000.0,0.0,,0.0,,Watsons
GLAD2GLOW Panthenol All in One Makeup Remover 150ml,47000.0,49000.0,0.0,,0.0,,Watsons
YOU NoutriWear+ Makeup Stay Lock Mist,58000.0,58000.0,0.0,5.0,3.0,,Watsons
MAYBELLINE Maybelline Lip & Eye Makeup Remover 150ml,102100.0,145900.0,15.0,5.0,7.0,,Watsons
MAYBELLINE Maybelline Lip & Eye Makeup Remover 70ml,67100.0,95900.0,15.0,5.0,9.0,,Watsons
SOMETHINC Somethinc SRSLY Balancer Makeup Setting Spray 45ml,53300.0,82000.0,35.0,5.0,10.0,,Watsons
HOLIKA HOLIKA Clean Up Lip & Eye Makeup Remover,66300.0,78000.0,15.0,5.0,7.0,,Watsons
MAYBELLINE Lifter Gloss - Lip Gloss Plump MakeUp dengan Hyaluronic Acid 005 Petal,117600.0,156900.0,25.0,5.0,4.0,,Watsons
MAYBELLINE Lifter Gloss - Lip Gloss Plump MakeUp dengan Hyaluronic Acid 004 Silk,117600.0,156900.0,25.0,5.0,3.0,,Watsons
MAYBELLINE Lifter Gloss - Lip Gloss Plump MakeUp dengan Hyaluronic Acid 002 Ice,117600.0,156900.0,25.0,5.0,3.0,,Watsons
ULTIMA II Ultima II Wonderwear Cream Makeup - Almond 50ml,330000.0,330000.0,0.0,,0.0,,Watsons
ULTIMA II Ultima II Wonderwear Cream Makeup - Ginger 50ml,330000.0,330000.0,0.0,,0.0,,Watsons
ULTIMA II Ultima II Wonderwear Cream Makeup - Natural 50ml,330000.0,330000.0,0.0,,0.0,,Watsons
ULTIMA II Ultima II Wonderwear Cream Makeup - Sand 50ml,330000.0,330000.0,0.0,,0.0,,Watsons
ULTIMA II Ultima II Wonderwear Cream Makeup - Linen 50ml,330000.0,330000.0,0.0,,0.0,,Watsons
ULTIMA II Ultima II Wonderwear Makeup - 08 Neutral 35ml,300000.0,300000.0,0.0,,0.0,,Watsons
ULTIMA II Ultima II Wonderwear Makeup - 05 Neutral 35ml,300000.0,300000.0,0.0,,0.0,,Watsons
ULTIMA II Ultima II Wonderwear Makeup - 02 Neutral 35ml,300000.0,300000.0,0.0,5.0,1.0,,Watsons
ULTIMA II Ultima II Wonderwear Makeup - 01 Neutral Warm 35ml,300000.0,300000.0,0.0,,0.0,,Watsons
ULTIMA II Ultima II Wonderwear Makeup - 04 Neutral Warm 35ml,300000.0,300000.0,0.0,,0.0,,Watsons
ULTIMA II Ultima II Wonderwear Makeup - 03 Neutral Cool 35ml,300000.0,300000.0,0.0,,0.0,,Watsons
ULTIMA II Ultima II Delicate Creme Powder Makeup Refill - Ocher 13g,175000.0,175000.0,0.0,,0.0,,Watsons
ULTIMA II Ultima II Delicate Creme Powder Makeup Refill - Ivory 13g,175000.0,175000.0,0.0,,0.0,,Watsons
ULTIMA II Ultima II Delicate Creme Powder Makeup Refill - Beige 13g,175000.0,175000.0,0.0,,0.0,,Watsons
ULTIMA II Ultima II Delicate Creme Powder Makeup Refill - Bisque 13g,175000.0,175000.0,0.0,,0.0,,Watsons
ULTIMA II Ultima II Delicate Creme Powder Makeup Refill - Peach 13g,175000.0,175000.0,0.0,,0.0,,Watsons
ULTIMA II Ultima II Delicate Creme Powder Makeup Refill - Buff 13g,175000.0,175000.0,0.0,,0.0,,Watsons
MAYBELLINE Hypersharp Extreme Liquid Eyeliner - Eye MakeUp - Waterproof Eyeliner Hitam,105500.0,159900.0,0.0,5.0,15.0,,Watsons
MAYBELLINE Tattoo Brow 36H Pencil Dark Brown - Eye Makeup - Pensil Alis Cokelat,85500.0,129900.0,0.0,4.0,3.0,,Watsons
MAYBELLINE Tattoo Brow 36H Pencil Grey Brown - Eye Makeup - Pensil Alis Abu-Abu,85500.0,129900.0,0.0,5.0,1.0,,Watsons
MAYBELLINE Fit Me Matte + Poreless Liquid Matte Foundation MakeUp (Foundation Cair Hasil Matte Tahan Hingga 24 Jam),113500.0,171900.0,0.0,5.0,36.0,,Watsons
ULTIMA II Wonderwear Stay Last Liquid Makeup SPF 35 PA+++ 05 Honey 35ml,325000.0,325000.0,0.0,,0.0,,Watsons
ULTIMA II Wonderwear Stay Last Liquid Makeup SPF 35 PA+++ 04 Fawn 35ml,325000.0,325000.0,0.0,,0.0,,Watsons
ULTIMA II Wonderwear Stay Last Liquid Makeup SPF 35 PA+++ 03 Sand 35ml,325000.0,325000.0,0.0,,0.0,,Watsons
ULTIMA II Wonderwear Stay Last Liquid Makeup SPF 35 PA+++ 02 Ivory 35ml,325000.0,325000.0,0.0,,0.0,,Watsons
ULTIMA II Wonderwear Stay Last Liquid Makeup SPF 35 PA+++ 01 Vanilla 35ml,325000.0,325000.0,0.0,,0.0,,Watsons
"ULTIMA II Ultima II Wonderwear Going, Going, Gone Makeup Remover",155000.0,155000.0,0.0,5.0,1.0,,Watsons
LIGHT+ Lite Skin Filter Cushion 02 Linen 11g - MakeUp Ringan - Tahan 8 Jam - Flawless Coverage - Glad-Setting - BB Cream - Soft Satin and Glow - Lightening - LightPlus,87200.0,109000.0,20.0,5.0,1.0,,Watsons
LIGHT+ Lite Skin Filter Cushion 03 Oat 11g - MakeUp Ringan - Tahan 8 Jam - Flawless Coverage - Glad-Setting - BB Cream - Soft Satin and Glow - Lightening - LightPlus,87200.0,109000.0,20.0,5.0,4.0,,Watsons
LIGHT+ Lite Skin Filter Cushion 01 Fair 11g - MakeUp Ringan - Tahan 8 Jam - Flawless Coverage - Glad-Setting - BB Cream - Soft Satin and Glow - Lightening - LightPlus,87200.0,109000.0,20.0,5.0,4.0,,Watsons
LIGHT+ Lite Skin Filter Cushion 06 Sand 11g - MakeUp Ringan - Tahan 8 Jam - Flawless Coverage - Glad-Setting - BB Cream - Soft Satin and Glow - Lightening - LightPlus,87200.0,109000.0,20.0,5.0,2.0,,Watsons
LIGHT+ Lite Skin Filter Cushion 05 Crème 11g - MakeUp Ringan - Tahan 8 Jam - Flawless Coverage - Glad-Setting - BB Cream - Soft Satin and Glow - Lightening - LightPlus,87200.0,109000.0,20.0,5.0,2.0,,Watsons
LIGHT+ Lite Skin Filter Cushion 04 Beige 11g - MakeUp Ringan - Tahan 8 Jam - Flawless Coverage - Glad-Setting - BB Cream - Soft Satin and Glow - Lightening - LightPlus,87200.0,109000.0,20.0,5.0,5.0,,Watsons
TIME PHORIA Glow Cushion 03 Fawn + Setting Spray,278000.0,278000.0,0.0,,0.0,,Watsons
TIME PHORIA Glow Cushion 02 Birch + Setting Spray,278000.0,278000.0,0.0,,0.0,,Watsons
TIME PHORIA Glow Cushion 01 Creme + Setting Spray,278000.0,278000.0,0.0,,0.0,,Watsons
TIME PHORIA Glow Cushion 02 Birch + 03 Gentle Hue,268000.0,268000.0,0.0,,0.0,,Watsons
TIME PHORIA Glow Cushion 01 Creme + 03 Gentle Hue,268000.0,268000.0,0.0,,0.0,,Watsons
TIME PHORIA Glow Cushion 03 Fawn + 03 Gentle Hue,268000.0,268000.0,0.0,,0.0,,Watsons
SKINTIFIC Cover Glow Perfect Cushion with Chain 03 Petal,156530.0,284600.0,35.0,,0.0,,Watsons
SKINTIFIC Cover Glow Perfect Cushion with Chain 01 Vanilla,156530.0,284600.0,35.0,,0.0,,Watsons
SKINTIFIC Cover Glow Perfect Cushion with Chain 02 Ivory,156530.0,284600.0,35.0,5.0,1.0,,Watsons
SKINTIFIC Cover Glow Perfect Cushion with Chain 04 Beige,156530.0,284600.0,35.0,,0.0,,Watsons
SKINTIFIC Cover Glow Perfect Cushion with Chain 03A Almond,156530.0,284600.0,35.0,,0.0,,Watsons
WARDAH Wardah Exclusive Blush On 02 Coral Peach 6.5g,69000.0,69000.0,0.0,5.0,3.0,,Watsons
TIME PHORIA Glow Cushion Creme + Lip Stain Quanta Creme & Quanta,298000.0,298000.0,0.0,,0.0,,Watsons
TIME PHORIA Glow Cushion Birch + Lip Stain Nerose Birch & Nerose,298000.0,298000.0,0.0,,0.0,,Watsons
TIME PHORIA Glow Cushion Fawn + Lip Tint Wisp Fawn & Wisp,298000.0,298000.0,0.0,,0.0,,Watsons
TIME PHORIA Glow Cushion Birch + Lip Tint Wisp Birch & Wisp,298000.0,298000.0,0.0,,0.0,,Watsons
TIME PHORIA Glow Cushion Fawn + Lip Stain Nerose Fawn & Nerose,298000.0,298000.0,0.0,,0.0,,Watsons
ULTIMA II Ultima II Delicate Creme Powder Makeup - Ocher Ocher 13g,215000.0,215000.0,0.0,,0.0,,Watsons
ULTIMA II Ultima II Delicate Creme Powder Makeup - Beige Beige 13g,215000.0,215000.0,0.0,,0.0,,Watsons
ULTIMA II Ultima II Delicate Creme Powder Makeup - Buff Buff 13g,215000.0,215000.0,0.0,,0.0,,Watsons
ULTIMA II Ultima II Delicate Creme Powder Makeup - Peach Peach 13g,215000.0,215000.0,0.0,,0.0,,Watsons
EMINA Creamy Milk Clarifying Lotion 50ml,25500.0,25500.0,0.0,,0.0,,Watsons
ULTIMA II Ultima II Delicate Creme Powder Makeup - Bisque Bisque 13g,215000.0,215000.0,0.0,,0.0,,Watsons
SOULYU Perfect Cover Concealer x Corrextor 03 Neutral Tangerine,83850.0,129000.0,30.0,,0.0,,Watsons
SOULYU Perfect Cover Concealer x Corrextor 05 Deep Honey,83850.0,129000.0,30.0,2.0,1.0,,Watsons
SOULYU Perfect Cover Concealer x Corrextor 01 Fair Pomelo,83850.0,129000.0,30.0,,0.0,,Watsons
SOULYU Perfect Cover Concealer x Corrextor 04 Warm Tangerine,83850.0,129000.0,30.0,,0.0,,Watsons
SOULYU Perfect Cover Concealer x Corrextor 02 Light Peach,83850.0,129000.0,30.0,,0.0,,Watsons
MAKE OVER Glow Complexion Set Bundle,338300.0,398000.0,15.0,,0.0,,Watsons
ROSE ALL DAY Cheeky Flush Liquid Blush Love Letter 3.5g,81750.0,109000.0,20.0,,0.0,,Watsons
OMG Oh My Glam Coverlast Cushion 33W Almond 15g,83500.0,83500.0,0.0,,0.0,,Watsons
OMG Oh My Glam Coverlast Cushion 20N Vanilla 15g,83500.0,83500.0,0.0,,0.0,,Watsons
ROSE ALL DAY Cheeky Flush Liquid Blush Picture Perfect 3.5g,81750.0,109000.0,20.0,,0.0,,Watsons
TIME PHORIA Orion Cloud Matte Intense Smooth Lipstick 012 Narcissa 2.5g,119200.0,149000.0,15.0,,0.0,,Watsons
TIME PHORIA Orion Cloud Matte Intense Smooth Lipstick 011 Enchanta 2.5g,119200.0,149000.0,15.0,,0.0,,Watsons
TIME PHORIA Orion Cloud Matte Intense Smooth Lipstick 010 Serpentis 2.5g,119200.0,149000.0,15.0,,0.0,,Watsons
TIME PHORIA Orion Cloud Matte Intense Smooth Lipstick 008 Vela 2.5g,119200.0,149000.0,15.0,,0.0,,Watsons
TIME PHORIA Orion Cloud Matte Intense Smooth Lipstick 009 Lunette 2.5g,119200.0,149000.0,15.0,,0.0,,Watsons
TIME PHORIA Orion Cloud Matte Intense Smooth Lipstick 006 Violetta 2.5g,119200.0,149000.0,15.0,,0.0,,Watsons
TIME PHORIA Orion Cloud Matte Intense Smooth Lipstick 007 Pegasus 2.5g,119200.0,149000.0,15.0,,0.0,,Watsons
TIME PHORIA Orion Cloud Matte Intense Smooth Lipstick 005 Elladora 2.5g,119200.0,149000.0,15.0,,0.0,,Watsons
TIME PHORIA Orion Cloud Matte Intense Smooth Lipstick 004 Althea 2.5g,119200.0,149000.0,15.0,,0.0,,Watsons
TIME PHORIA Orion Cloud Matte Intense Smooth Lipstick 003 Xena 2.5g,119200.0,149000.0,15.0,,0.0,,Watsons
TIME PHORIA Orion Cloud Matte Intense Smooth Lipstick 002 Araminta 2.5g,119200.0,149000.0,15.0,,0.0,,Watsons
TIME PHORIA Orion Cloud Matte Intense Smooth Lipstick 001 Axiom 2.5g,119200.0,149000.0,15.0,,0.0,,Watsons
TIME PHORIA Timeless UTOPIA Glow Perfection Cushion 03 Fawn 11g,143200.0,179000.0,20.0,5.0,1.0,,Watsons
TIME PHORIA Timeless UTOPIA Glow Perfection Cushion 00 Bare 11g,143200.0,179000.0,20.0,,0.0,,Watsons
TIME PHORIA Timeless UTOPIA Glow Perfection Cushion 04 Beige 11g,143200.0,179000.0,20.0,5.0,1.0,,Watsons
GLAD2GLOW Perfect Cover Glow Cushion 04 Ginger Playful Set 11g,139000.0,139000.0,0.0,,0.0,,Watsons
GLAD2GLOW Perfect Cover Glow Cushion 03 Custard Playful Set 11g,139000.0,139000.0,0.0,,0.0,,Watsons
GLAD2GLOW Perfect Cover Glow Cushion 02 Praline Playful Set 11g,139000.0,139000.0,0.0,,0.0,,Watsons
INEZ Inez Skin Equalizer Perfecting Primer Hydralock 15ml,78500.0,78500.0,0.0,,0.0,,Watsons
INEZ Inez Skin Equalizer Perfecting Primer Invisiblur 15ml,78500.0,78500.0,0.0,5.0,1.0,,Watsons
MAYBELLINE Maybelline Superstay Superpowers Kulit Sawo Matang (Deep Bundle),223920.0,279900.0,20.0,,0.0,,Watsons
MAYBELLINE Maybelline Superstay Superpowers Kulit Kuning Langsat (Medium Bundle),223920.0,279900.0,20.0,,0.0,,Watsons
ULTIMA II Ultima II Delicate Creme Powder Makeup - Ivory Ivory 13g,215000.0,215000.0,0.0,5.0,2.0,,Watsons
LUXCRIME FilterSkin Blurring Setting Powder Translucent Medium 10g,152100.0,169000.0,10.0,,0.0,,Watsons
LUXCRIME FilterSkin Blurring Setting Powder Translucent Deep 10g,152100.0,169000.0,10.0,,0.0,,Watsons
LUXCRIME FilterSkin Blurring Setting Powder Translucent Light 10g,152100.0,169000.0,10.0,,0.0,,Watsons
MAKE OVER Gloss Lips Bundle,253300.0,298000.0,15.0,,0.0,,Watsons
MAKE OVER Gorgeous Lips Bundle,226100.0,266000.0,15.0,,0.0,,Watsons
SOMETHINC SOMETHINC FRVR FRIENDS BLENDIE SET 4'S,196900.0,196900.0,0.0,,0.0,,Watsons
LUMERIA MAISON Illusion Extrait de Parfum 50ml,179900.0,249900.0,25.0,5.0,3.0,,Watsons
LUMERIA MAISON Euphoria Extrait de Parfum 50ml,179900.0,249900.0,25.0,5.0,3.0,,Watsons
LUMERIA MAISON Wild Silk Extrait de Parfum 50ml,179900.0,249900.0,25.0,5.0,1.0,,Watsons
MAKE OVER [EXCLUSIVE BUNDLE] Powerstay 24H Matte Powder Foundation W22 Warm Ivory + Powerstay Velvet Matte Setting Spray,378000.0,378000.0,0.0,,0.0,,Watsons
MAKE OVER [EXCLUSIVE BUNDLE] Powerstay 24H Matte Powder Foundation N30 Natural Beige + Powerstay Velvet Matte Setting Spray,378000.0,378000.0,0.0,,0.0,,Watsons
TIME PHORIA Elixir Velvet-Shine Switching Lip Cream 012 Mauvorious 3.5g,119000.0,119000.0,0.0,,0.0,,Watsons
TIME PHORIA Elixir Velvet-Shine Switching Lip Cream 011 Auralis 3.5g,119000.0,119000.0,0.0,,0.0,,Watsons
TIME PHORIA Elixir Velvet-Shine Switching Lip Cream 010 Xenon 3.5g,119000.0,119000.0,0.0,,0.0,,Watsons
TIME PHORIA Elixir Velvet-Shine Switching Lip Cream 009 Vink 3.5g,119000.0,119000.0,0.0,,0.0,,Watsons
TIME PHORIA Elixir Velvet-Shine Switching Lip Cream 008 Fanox 3.5g,119000.0,119000.0,0.0,,0.0,,Watsons
TIME PHORIA Elixir Velvet-Shine Switching Lip Cream 007 Eclipta 3.5g,119000.0,119000.0,0.0,,0.0,,Watsons
TIME PHORIA Elixir Velvet-Shine Switching Lip Cream 006 Cerillium 3.5g,119000.0,119000.0,0.0,,0.0,,Watsons
TIME PHORIA Elixir Velvet-Shine Switching Lip Cream 005 Kalion 3.5g,119000.0,119000.0,0.0,,0.0,,Watsons
TIME PHORIA Elixir Velvet-Shine Switching Lip Cream 004 Terranox 3.5g,119000.0,119000.0,0.0,,0.0,,Watsons
TIME PHORIA Elixir Velvet-Shine Switching Lip Cream 003 Rubium 3.5g,119000.0,119000.0,0.0,,0.0,,Watsons
TIME PHORIA Elixir Velvet-Shine Switching Lip Cream 001 Fable 3.5g,119000.0,119000.0,0.0,,0.0,,Watsons
ULTIMA II Pro Lip Oil SPF20 PA+++ 03 Blooming Peony 3.5ml,195000.0,195000.0,0.0,,0.0,,Watsons
ULTIMA II Pro Lip Oil SPF20 PA+++ 02 Rose Petals 3.5ml,195000.0,195000.0,0.0,,0.0,,Watsons
ULTIMA II Pro Lip Oil SPF20 PA+++ 04 Sunset Marigold 3.5ml,195000.0,195000.0,0.0,,0.0,,Watsons
ULTIMA II Pro Lip Oil SPF20 PA+++ 05 Velvet Poppy 3.5ml,195000.0,195000.0,0.0,,0.0,,Watsons
ULTIMA II Pro Lip Oil SPF20 PA+++ 01 Lily Dew 3.5ml,195000.0,195000.0,0.0,,0.0,,Watsons
TIME PHORIA Spectra Ultra Stay-Shine Transfer Proof Lip Vinyl 002 Celestial Dust,103200.0,129000.0,15.0,5.0,2.0,,Watsons
TIME PHORIA Spectra Ultra Stay-Shine Transfer Proof Lip Vinyl 012 Inferno Kiss 012 Inferno Kiss,103200.0,129000.0,15.0,,0.0,,Watsons
TIME PHORIA Spectra Ultra Stay-Shine Transfer Proof Lip Vinyl 007 Cosmic Haze 007 Cosmic Haze,103200.0,129000.0,15.0,,0.0,,Watsons
TIME PHORIA Spectra Ultra Stay-Shine Transfer Proof Lip Vinyl 003 Venus Dune 003 Venus Dune,103200.0,129000.0,15.0,,0.0,,Watsons
TIME PHORIA Spectra Ultra Stay-Shine Transfer Proof Lip Vinyl 011 Crimson Mars,103200.0,129000.0,15.0,,0.0,,Watsons
TIME PHORIA Spectra Ultra Stay-Shine Transfer Proof Lip Vinyl 010 Solar Mist 010 Solar Mist,103200.0,129000.0,15.0,,0.0,,Watsons
TIME PHORIA Spectra Ultra Stay-Shine Transfer Proof Lip Vinyl 009 Cosmo Crush,103200.0,129000.0,15.0,,0.0,,Watsons
TIME PHORIA Spectra Ultra Stay-Shine Transfer Proof Lip Vinyl 008 Eclipse Berry,103200.0,129000.0,15.0,,0.0,,Watsons
TIME PHORIA Spectra Ultra Stay-Shine Transfer Proof Lip Vinyl 006 Solar Flare,103200.0,129000.0,15.0,,0.0,,Watsons
TIME PHORIA Spectra Ultra Stay-Shine Transfer Proof Lip Vinyl 005 Moondust Beige 005 Moondust Beige,103200.0,129000.0,15.0,,0.0,,Watsons
TIME PHORIA Spectra Ultra Stay-Shine Transfer Proof Lip Vinyl 001 Moonlit Clay 001 Moonlit Clay,109650.0,129000.0,15.0,5.0,1.0,,Watsons
TIME PHORIA Spectra Ultra Stay-Shine Transfer Proof Lip Vinyl 004 Petal Comet,103200.0,129000.0,15.0,,0.0,,Watsons
MAKE OVER X Rinaldy Yunardi Powerstay 24H Matte Powder Foundation Limited Edition N20 Ivory 10g,183200.0,229000.0,20.0,,0.0,,Watsons
MAKE OVER X Rinaldy Yunardi Powerstay 24H Matte Powder Foundation Limited Edition N10 Marble 10g,183200.0,229000.0,20.0,,0.0,,Watsons
MAKE OVER X Rinaldy Yunardi Powerstay 24H Matte Powder Foundation Limited Edition W32 Warm Beige 10g,183200.0,229000.0,20.0,,0.0,,Watsons
MAKE OVER X Rinaldy Yunardi Powerstay 24H Matte Powder Foundation Limited Edition N30 Natural Beige 10g,183200.0,229000.0,20.0,5.0,1.0,,Watsons
MAKE OVER X Rinaldy Yunardi Powerstay 24H Matte Powder Foundation Limited Edition W42 Warm Sand 10g,183200.0,229000.0,20.0,,0.0,,Watsons
MAKE OVER X Rinaldy Yunardi Powerstay 24H Matte Powder Foundation Limited Edition W22 Warm Ivory 10g,183200.0,229000.0,20.0,,0.0,,Watsons
MAKE OVER X Rinaldy Yunardi Powerstay 24H Matte Powder Foundation Limited Edition C21 Pink Ivory 10g,183200.0,229000.0,20.0,,0.0,,Watsons
MAKE OVER X Rinaldy Yunardi Powerstay 24H Matte Powder Foundation Limited Edition W33 Honey Beige 10g,183200.0,229000.0,20.0,,0.0,,Watsons
STUDIO TROPIK Studio Tropik Elixir Priming Water 50ml,89100.0,99000.0,10.0,5.0,2.0,,Watsons
STUDIO TROPIK Studio Tropik Elixir Priming Water 105ml,169000.0,169000.0,0.0,5.0,1.0,,Watsons
WARDAH Wardah Beauty Blender,75000.0,75000.0,0.0,5.0,1.0,,Watsons
ULTIMA II Ultima II Wonderwear Stay Last Liquid Makeup - Buff,180000.0,300000.0,40.0,,0.0,,Watsons
3CE Misty Lip Bare 09 Driftwood,164500.0,235000.0,30.0,,0.0,,Watsons
3CE Misty Lip Bare 02 Earlier,164500.0,235000.0,30.0,,0.0,,Watsons
TIME PHORIA Milkyway Melting Lip Balm 002 Moondrip 2.1g,79200.0,99000.0,15.0,5.0,1.0,,Watsons
SOMETHINC Forever Stay LightComfort Lip Matte 08 Chai 2g,64350.0,99000.0,35.0,,0.0,,Watsons
SOMETHINC Forever Stay LightComfort Lip Matte 06 Baby 2g,64350.0,99000.0,35.0,,0.0,,Watsons
SOMETHINC Forever Stay LightComfort Lip Matte 10 Chili 2g,64350.0,99000.0,35.0,,0.0,,Watsons
SOMETHINC Forever Stay LightComfort Lip Matte 09 Hottie 2g,64350.0,99000.0,35.0,5.0,1.0,,Watsons
SOMETHINC Forever Stay LightComfort Lip Matte 03 Frappe 2g,64350.0,99000.0,35.0,,0.0,,Watsons
SOMETHINC Forever Stay LightComfort Lip Matte 04 Dolce 2g,64350.0,99000.0,35.0,,0.0,,Watsons
SOMETHINC Forever Stay LightComfort Lip Matte 02 Cozy 2g,64350.0,99000.0,35.0,,0.0,,Watsons
SOMETHINC Forever Stay LightComfort Lip Matte 11 GGWP 2g,64350.0,99000.0,35.0,,0.0,,Watsons
SOMETHINC Forever Stay LightComfort Lip Matte 01 Nude 2g,64350.0,99000.0,35.0,,0.0,,Watsons
TIME PHORIA Milkyway Melting Lip Balm 001 Ardent 2.1g,74250.0,99000.0,25.0,,0.0,,Watsons
3CE Misty Lip Bare 11 Rose Sigh,164500.0,235000.0,30.0,,0.0,,Watsons
SOMETHINC Forever Stay LightComfort Lip Matte 12 XOXO 2g,64350.0,99000.0,35.0,,0.0,,Watsons
SOMETHINC Forever Stay LightComfort Lip Matte 07 Lowkey 2g,64350.0,99000.0,35.0,,0.0,,Watsons
SOMETHINC Forever Stay LightComfort Lip Matte 05 Wink 2g,64350.0,99000.0,35.0,,0.0,,Watsons
TIME PHORIA Milkyway Melting Lip Balm 015 Kyra 2.1g,74250.0,99000.0,25.0,,0.0,,Watsons
TIME PHORIA Milkyway Melting Lip Balm 014 Stellune 2.1g,74250.0,99000.0,15.0,,0.0,,Watsons
TIME PHORIA Milkyway Melting Lip Balm 012 Amberra 2.1g,74250.0,99000.0,25.0,,0.0,,Watsons
TIME PHORIA Milkyway Melting Lip Balm 011 Topazia 2.1g,74250.0,99000.0,25.0,,0.0,,Watsons
TIME PHORIA Milkyway Melting Lip Balm 010 Ravelle 2.1g,74250.0,99000.0,25.0,,0.0,,Watsons
TIME PHORIA Milkyway Melting Lip Balm 005 Muse 2.1g,74250.0,99000.0,25.0,,0.0,,Watsons
TIME PHORIA Milkyway Melting Lip Balm 003 Bella 2.1g,79200.0,99000.0,15.0,,0.0,,Watsons
TIME PHORIA Milkyway Melting Lip Balm 008 Caelia 2.1g,74250.0,99000.0,25.0,,0.0,,Watsons
TIME PHORIA Milkyway Melting Lip Balm 006 Galacta 2.1g,74250.0,99000.0,25.0,,0.0,,Watsons
TIME PHORIA Milkyway Melting Lip Balm 007 Roselle 2.1g,79200.0,99000.0,15.0,,0.0,,Watsons
TIME PHORIA Milkyway Melting Lip Balm 004 Noirelle 2.1g,79200.0,99000.0,15.0,,0.0,,Watsons
TIME PHORIA Milkyway Melting Lip Balm 009 Vesper 2.1g,74250.0,99000.0,25.0,,0.0,,Watsons
3CE Misty Lip Bare 08 Chili Flame,164500.0,235000.0,30.0,,0.0,,Watsons
3CE Misty Lip Bare 07 Sun Pause,164500.0,235000.0,30.0,,0.0,,Watsons
3CE Misty Lip Bare 03 Milky Illusion,164500.0,235000.0,30.0,,0.0,,Watsons
3CE Misty Lip Bare 06 Tulip Fuzz,164500.0,235000.0,30.0,,0.0,,Watsons
3CE Misty Lip Bare 01 Nude Whisper,164500.0,235000.0,30.0,,0.0,,Watsons
3CE Misty Lip Bare 05 Coral Drench,164500.0,235000.0,30.0,,0.0,,Watsons
3CE Misty Lip Bare 04 Pink Scheme,164500.0,235000.0,30.0,,0.0,,Watsons
WARDAH Wardah Exclusive Liquid Foundation 04 Natural 20ml,93000.0,93000.0,0.0,5.0,6.0,,Watsons
WARDAH Wardah Exclusive Liquid Foundation 05 Coffee Beige 20ml,93000.0,93000.0,0.0,5.0,2.0,,Watsons
WARDAH Wardah Exclusive Liquid Foundation 03 Sandy Beige 20ml,93000.0,93000.0,0.0,5.0,10.0,,Watsons
WARDAH Wardah Exclusive Liquid Foundation 01 Light Beige 20ml,93000.0,93000.0,0.0,5.0,5.0,,Watsons
INSTAPERFECT Refill Skincover Air Cushion 52 Almond 11g - Make Up Cushion Foundation Blurring Semi Matte Finish (Real Skin Buildable Coverage - Transferproof - Non-Comedogenic),142000.0,142000.0,0.0,,0.0,,Watsons
AZARINE Azarine Tinted Lippie Cake Lip Tint - Honey Waffle #07,49900.0,49900.0,0.0,5.0,4.0,,Watsons
LIGHT+ Wardah Lightening Liquid Concealer 03 Golden Sand (43W) 6g,40800.0,48000.0,15.0,,0.0,,Watsons
ULTIMA II Procollagen Serum Blush SPF35 01 Pink Canyon 7ml,285000.0,285000.0,0.0,,0.0,,Watsons
ULTIMA II Procollagen Serum Blush SPF35 02 Sunkissed Nectar 7ml,285000.0,285000.0,0.0,,0.0,,Watsons
ROSE ALL DAY Blush N' Bake Set Bundle,258000.0,258000.0,0.0,,0.0,,Watsons
